Date	OR	Odor	Concentration	NormalizedLuc
103109	1251	1299	0	0.45286
103109	1291	1299	0	0.49826
103109	1285	1299	0	0.37872
103109	1287	1302	0	0.60322
103109	1291	1302	0	0.65503
103109	1329	1302	0	0.36425
103109	1281	1302	0	0.44771
103109	1246	1302	0	0.22162
103109	1242	1302	0	0.28623
103109	1291	1301	0	0.46667
103109	1251	1301	0	0.41442
103109	1287	1301	0	0.33769
103109	1309	1301	0	0.26631
103109	1281	1301	0	0.42065
103109	1269	1301	0	0.32976
103109	1329	1300	0	0.42927
103109	1269	1300	0	0.29214
103109	1249	1300	0	0.43246
103109	1251	1300	0	0.34359
103109	1336	1292	0	0.26424
103109	1287	1292	0	0.41037
103109	1299	1292	0	0.36573
103109	1340	1292	0	0.54108
103109	1329	1298	0	0.41133
103109	1269	1298	0	0.26656
103109	1299	1298	0	0.41764
103109	1257	1298	0	0.41801
103109	1251	1294	0	0.31912
103109	1281	1294	0	0.35343
103109	1309	1294	0	0.31007
103109	1242	1294	0	0.31645
103109	1299	1297	0	0.46923
103109	1287	1297	0	0.43499
103109	1274	1297	0	0.49595
103109	1251	1297	0	0.5392
103109	1339	1296	0	0.29299
103109	1336	1296	0	0.28835
103109	1313	1296	0	0.29308
103109	1329	1296	0	0.4066
103109	1274	1296	0	0.38282
103109	1291	1293	0	0.40715
103109	1287	1293	0	0.44557
110109	1448	1292	0	0.092721
110109	1444	1292	0	0.15167
110109	1430	1292	0	0.107
110109	1450	1292	0	0.1508
110109	1437	1292	0	0.19145
110109	1406	1292	0	0.33157
110109	1436	1292	0	0.12187
110109	1446	1292	0	0.097468
110109	1448	1295	0	0.14385
110109	1446	1295	0	0.18608
110109	1433	1295	0	0.16814
110109	1430	1295	0	0.18042
110109	1435	1295	0	0.10755
110109	1388	1295	0	0.1257
110109	1362	1295	0	0.10429
110109	1438	1295	0	0.14411
110109	1309	1295	0	0.14332
110109	1299	1295	0	0.16176
110109	1282	1295	0	0.61848
110109	1246	1295	0	0.13712
110109	1251	1295	0	0.16635
110109	1307	1295	0	0.1275
110109	1249	1295	0	0.2548
110109	1242	1295	0	0.14202
110109	1448	1299	0	0.14707
110109	1440	1299	0	0.15564
110109	1442	1299	0	0.18863
110109	1404	1299	0	0.48127
110109	1447	1299	0	0.18534
110109	1433	1299	0	0.13862
110109	1418	1299	0	0.23383
110109	1407	1299	0	0.69228
110109	1391	1300	0	0.15375
110109	1364	1300	0	0.1508
110109	1395	1300	0	0.17342
110109	1388	1300	0	0.18291
110109	1446	1300	0	0.16834
110109	1362	1300	0	0.17647
110109	1373	1300	0	0.20955
110109	1432	1300	0	0.22755
110109	1422	1294	0	0.22047
110109	1443	1294	0	0.1675
110109	1391	1295	0	0.2227
110109	1448	1298	0	0.15201
110109	1363	1298	0	0.17192
110109	1404	1302	0	0.48482
110109	1281	1297	0	0.20025
